Repository,Default Branch,Focus,Last Reviewed,Notes,Owner,Repo URL,Status,Visibility
keenpaul29/browser,main,Watch,,Browser-related codebase,keenpaul29,https://github.com/keenpaul29/browser,Not started,Public
keenpaul29/Rag-project,main,Active,,RAG experimentation,keenpaul29,https://github.com/keenpaul29/Rag-project,Not started,Public
keenpaul29/chat-support,main,Core,,Customer support workflow repo,keenpaul29,https://github.com/keenpaul29/chat-support,Not started,Public
keenpaul29/career-ops,main,Active,,Career operations automations,keenpaul29,https://github.com/keenpaul29/career-ops,Not started,Public
keenpaul29/yoforexnet-website,main,Core,,Private production website,keenpaul29,https://github.com/keenpaul29/yoforexnet-website,Not started,Private
keenpaul29/openclaude,main,Core,,Claude-code related experiments,keenpaul29,https://github.com/keenpaul29/openclaude,Not started,Public
keenpaul29/Surround,main,Watch,,Side project,keenpaul29,https://github.com/keenpaul29/Surround,Not started,Public
keenpaul29/awesome-agent-skills,main,Active,,Agent skills collection,keenpaul29,https://github.com/keenpaul29/awesome-agent-skills,Not started,Public
keenpaul29/resume-tailor-n8n,main,Active,,Resume tailoring workflow,keenpaul29,https://github.com/keenpaul29/resume-tailor-n8n,Not started,Public
keenpaul29/codex,main,Core,,Codex-related development workspace,keenpaul29,https://github.com/keenpaul29/codex,Not started,Public
keenpaul29/yoforexai-admin,master,Core,,Private admin panel,keenpaul29,https://github.com/keenpaul29/yoforexai-admin,Not started,Private
keenpaul29/learn-claude-code,main,Active,,Learning repository,keenpaul29,https://github.com/keenpaul29/learn-claude-code,Not started,Public